Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team,salary,position,season,height
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
Carmelo Anthony,PF,35,POR,58,1902,12.4,0.525,0.289,0.20600000000000002,4.0,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,Portland Trail Blazers,1364204, PF,2019-2020,203.2
